"From Branch","To District","To City","Charge for 1st kg","Charge per additional 1kg"
"Colombo","Gampaha","Makola","425","100.00"
"Colombo","Gampaha","Malwana","425","100.00"
"Colombo","Colombo","Heyyanthuduwa","425","100.00"
"Colombo","Gampaha","Biyagama","425","100.00"
"Colombo","Colombo","Kaduwela","425","100.00"
"Colombo","Gampaha","Makola North","425","100.00"
"Colombo","Colombo","Nawagamuwa","425","100.00"
"Colombo","Colombo","Korathota","425","100.00"
"Colombo","Colombo","welivita","425","100.00"
"Colombo","Gampaha","Wanduraba","425","100.00"
"Colombo","Gampaha","Kalukondayawa","425","100.00"
"Colombo","Gampaha","Waduwegama","425","100.00"
"Colombo","Gampaha","Batalanda","425","100.00"
"Colombo","Gampaha","ahugammana","425","100.00"
"Colombo","Gampaha","Makola south","425","100.00"
"Colombo","Colombo","Sapugaskande","425","100.00"
"Colombo","Colombo","Sapugaskanda","425","100.00"
"Colombo","Colombo","Kothalawala","425","100.00"
"Colombo","Colombo","Thalahena","425","100.00"
"Colombo","Colombo","Hewagama","425","100.00"
"Colombo","Colombo","raggghawthha","425","100.00"
"Colombo","Colombo","Raggahawatta","425","100.00"
"Colombo","Colombo","Isurupura","425","100.00"
"Colombo","Colombo","new kandy road kaduwla","425","100.00"
"Colombo","Colombo","Malabe","425","100.00"
"Colombo","Colombo","athurugiriya road kaduwela","425","100.00"
"Colombo","Colombo","athurugiriya road kaduwela","425","100.00"
"Colombo","Colombo","Thalahena","425","100.00"
"Colombo","Colombo","Pittugala","425","100.00"
"Colombo","Colombo","Arangala","425","100.00"
"Colombo","Colombo","Kahanthota","425","100.00"
"Colombo","Colombo","Halbarwa","425","100.00"
"Colombo","Colombo","Thunadahena","425","100.00"
"Colombo","Colombo","Thalangama","425","100.00"
"Colombo","Colombo","Pothuarawa","425","100.00"
"Colombo","Colombo","Bomiriya","425","100.00"
"Colombo","Colombo","Korathota","425","100.00"
"Colombo","Colombo","welihinda","425","100.00"
"Colombo","Colombo","Ranala","425","100.00"
"Colombo","Colombo","Wele Handiya","425","100.00"
"Colombo","Colombo","Thunadahena","425","100.00"
"Colombo","Colombo","Welipillewa","425","100.00"
"Colombo","Colombo","Dadigamuwa","425","100.00"
"Colombo","Colombo","Biyagama","425","100.00"
"Colombo","Colombo","Malwana","425","100.00"
"Colombo","Colombo","Kottunna","425","100.00"
"Colombo","Colombo","Kalukodayawa","425","100.00"
"Colombo","Colombo","Heiyanthuduwa","425","100.00"
"Colombo","Colombo","makola","425","100.00"
"Colombo","Colombo","makola north","425","100.00"
"Colombo","Colombo","makola south","425","100.00"
"Colombo","Colombo","Mawaramandiya","425","100.00"
"Colombo","Colombo","Mabima","425","100.00"
"Colombo","Colombo","Thambiligasmulla","425","100.00"
"Colombo","Colombo","Daranagama","425","100.00"
"Colombo","Colombo","Athurugiriya","425","100.00"
"Colombo","Colombo","Godagama","425","100.00"
"Colombo","Colombo","Hiripitya","425","100.00"
"Colombo","Colombo","Kiriwattuduwa","425","100.00"
"Colombo","Colombo","Mattegoda","425","100.00"
"Colombo","Colombo","Pitipana Homagama","425","100.00"
"Colombo","Colombo","Homagama","425","100.00"
"Colombo","Colombo","Rukmale","425","100.00"
"Colombo","Colombo","Rukmale East A","425","100.00"
"Colombo","Colombo","Rukmale East B","425","100.00"
"Colombo","Colombo","Kiriwaththuduwa","425","100.00"
"Colombo","Colombo","Maththegoda","425","100.00"
"Colombo","Colombo","Panagoda","425","100.00"
"Colombo","Colombo","Uduwana","425","100.00"
"Colombo","Colombo","Malapalla","425","100.00"
"Colombo","Colombo","Malapalla West","425","100.00"
"Colombo","Colombo","Brahmanagama","425","100.00"
"Colombo","Colombo","pannipitiya","425","100.00"
"Colombo","Colombo","Oruwala","425","100.00"
"Colombo","Colombo","Kirigampamunwa","425","100.00"
"Colombo","Colombo","Magammana","425","100.00"
"Colombo","Colombo","Welipillawa","425","100.00"
"Colombo","Colombo","Pelanwaththa","425","100.00"
"Colombo","Colombo","Gorakapitiya","425","100.00"
"Colombo","Colombo","Polwaththa","425","100.00"
"Colombo","Colombo","niyadagala","425","100.00"
"Colombo","Colombo","DEDIGAMUWA","425","100.00"
"Colombo","Colombo","Habarakada","425","100.00"
"Colombo","Colombo","PITIPANA","425","100.00"
"Colombo","Colombo","Kottawa","425","100.00"
"Colombo","Colombo","Kirigampamunuwa","425","100.00"
"Colombo","Colombo","Depanama","425","100.00"
"Colombo","Colombo","Kalalgoda","425","100.00"
"Colombo","Colombo","Pore","425","100.00"
"Colombo","Colombo","Welipillewa","425","100.00"
"Colombo","Colombo","Mullegama","425","100.00"
"Colombo","Colombo","Embulgama","425","100.00"
"Colombo","Colombo","Ranala","425","100.00"
"Colombo","Colombo","Galawila Road","425","100.00"
"Colombo","Colombo","Dolahena","425","100.00"
"Colombo","Colombo","Keremulla","425","100.00"
"Colombo","Colombo","NSBM Green University","425","100.00"
"Colombo","Colombo","Makumbura","425","100.00"
"Colombo","Colombo","Galawilawatta","425","100.00"
"Colombo","Colombo","Homagama town","425","100.00"
"Colombo","Colombo","army camp panagoda","425","100.00"
"Colombo","Colombo","Poragodella","425","100.00"
"Colombo","Colombo","Siddamulla","425","100.00"
"Colombo","Colombo","Hiripitiya","425","100.00"
"Colombo","Colombo","Dolekade","425","100.00"
"Colombo","Colombo","Dipangoda","425","100.00"
"Colombo","Colombo","Beruketiya","425","100.00"
"Colombo","Colombo","kottawa town","425","100.00"
"Colombo","Colombo","Liyanagoda","425","100.00"
"Colombo","Colombo","Vidyala Junction","425","100.00"
"Colombo","Colombo","Amuatamulla","425","100.00"
"Colombo","Colombo","wasalawatta","425","100.00"
"Colombo","Colombo","Mahalwarawa","425","100.00"
"Colombo","Colombo","Moraketiya","425","100.00"
"Colombo","Colombo","Pelanwatta","425","100.00"
"Colombo","Colombo","Arawwala","425","100.00"
"Colombo","Colombo","Erewwala","425","100.00"
"Colombo","Colombo","Rathmaldeniya","425","100.00"
"Colombo","Colombo","Polkotuwa Junction","425","100.00"
"Colombo","Colombo","Egodawatta Road","425","100.00"
"Colombo","Colombo","Weralu Gas junction","425","100.00"
"Colombo","Colombo","Diyagama","425","100.00"
"Colombo","Colombo","Bellanwila","425","100.00"
"Colombo","Colombo","Boralesgamuwa","425","100.00"
"Colombo","Colombo","Deltara","425","100.00"
"Colombo","Colombo","Kahathuduwa","425","100.00"
"Colombo","Colombo","Madapatha","425","100.00"
"Colombo","Colombo","Polgasowita","425","100.00"
"Colombo","Colombo","Siddamulla","425","100.00"
"Colombo","Colombo","Maharagama","425","100.00"
"Colombo","Colombo","Delthara","425","100.00"
"Colombo","Kalutara","Halpita","425","100.00"
"Colombo","Colombo","Mampe","425","100.00"
"Colombo","Colombo","Thumbovila","425","100.00"
"Colombo","Colombo","Thelawala","425","100.00"
"Colombo","Colombo","Bokundara","425","100.00"
"Colombo","Colombo","Navinna","425","100.00"
"Colombo","Colombo","Batakeththara","425","100.00"
"Colombo","Colombo","Raththanapitya","425","100.00"
"Colombo","Colombo","Suwarapola","425","100.00"
"Colombo","Colombo","Boralasgamuwa","425","100.00"
"Colombo","Colombo","egodauyana","425","100.00"
"Colombo","Colombo","Koralawella","425","100.00"
"Colombo","Colombo","koralawalla","425","100.00"
"Colombo","Colombo","Piliyandala","425","100.00"
"Colombo","Colombo","Kesbewa","425","100.00"
"Colombo","Colombo","Kasbewa","425","100.00"
"Colombo","Colombo","Bellanvila","425","100.00"
"Colombo","Colombo","Rattanapitiya","425","100.00"
"Colombo","Colombo","Raththanapitiya","425","100.00"
"Colombo","Colombo","Nawinna","425","100.00"
"Colombo","Colombo","Pamunuwa","425","100.00"
"Colombo","Colombo","Pathiragoda","425","100.00"
"Colombo","Colombo","godigamuwa","425","100.00"
"Colombo","Colombo","Katuwawala","425","100.00"
"Colombo","Colombo","Abagahapura","425","100.00"
"Colombo","Colombo","Pepiliyana","425","100.00"
"Colombo","Colombo","Bellanvilla","425","100.00"
"Colombo","Colombo","Siyabalagoda","425","100.00"
"Colombo","Colombo","Halpita","425","100.00"
"Colombo","Colombo","Kolamunna","425","100.00"
"Colombo","Colombo","Batakattara","425","100.00"
"Colombo","Colombo","Hadigama","425","100.00"
"Colombo","Colombo","Dampe","425","100.00"
"Colombo","Colombo","Makuluduwa","425","100.00"
"Colombo","Colombo","Gorakapitiya","425","100.00"
